English Template,Telugu Template
[Name/Pronoun] told us all about the recent [emotion-adjective] events.,[పేరు/ఆయన/ఆమె/బంధం] ఇటీవల జరిగిన [భావ విశేషణ] విషయాల గురించి మాతో [చెప్పాడు/చెప్పింది/చెప్పారు].
[Name/Pronoun] was in a[n] [emotion-adjective] situation.,[పేరు/ఆయన/ఆమె/బంధం] చాలా [భావ విశేషణ] పరిస్థితిలో [ఉన్నాడు/ఉంది/ఉన్నారు].
[Name/Pronoun] feels [emotion].,[పేరు/ఆయన/ఆమె/బంధం] కి  [భావం] ఉంది.
[Name/Pronoun] made me feel [emotion].,[పేరు/ఆయన/ఆమె/బంధం] నాకు [భావం] [కలిగించాడు / కలిగించింది / కలిగించారు].
The situation makes [Name/Pronoun] feel [emotion].,[పేరు/ఆయన/ఆమె/బంధం] కి ఈ పరిస్థితి  [భావం] అనిపిస్తుంది
I made [Name/Pronoun] feel [emotion].,నా వల్ల [పేరు/ఆయన/ఆమె/బంధం] కి [భావం] కలిగింది.
The conversation with [Name/Pronoun] was [emotion-adjective].,[పేరు/ఆయన/ఆమె/బంధం]తో జరిగిన సంభాషణ నాకు [భావ విశేషణ] కలిగించింది.
[Name/Relation/Pronoun] goes to the school in our neighbourhood.,[పేరు/బంధం/ఆయన/ఆమె] మా ఊరిలో ఉన్న పాఠశాలకి [వెళ్తున్నాడు /వెళ్తుంది /వెళ్తున్నారు].
[Name/Relation/Pronoun] has two children.,[పేరు/బంధం/ఆయన/ఆమె] కి ఇద్దరు పిల్లలు ఉన్నారు.
I talked to [Name/Relation/Pronoun] yesterday.,నిన్న నేను [పేరు/బంధం/ఆయన/ఆమె] తో మాట్లాడాను.
I saw [Name/Relation/Pronoun] in the market.,నేను [పేరు/బంధం/ఆయన/ఆమె] ను మార్కెట్‌లో చూశాను.